School Decile,Māori,European/ Pākehā,Immersion Level 1,Immersion None,clusters,cluster
2.0,126,60,0,156,0,pink
2.0,144,73,0,173,0,pink
2.0,146,79,0,195,0,pink
1.0,109,30,0,0,0,pink
1.0,113,33,0,0,0,pink
1.0,114,26,0,0,0,pink
1.0,112,33,0,123,0,pink
1.0,78,34,0,100,0,pink
1.0,82,25,0,58,0,pink
1.0,98,34,0,133,0,pink
1.0,110,38,0,117,0,pink
1.0,114,42,0,121,0,pink
1.0,129,38,0,148,0,pink
1.0,142,54,0,162,0,pink
1.0,142,37,0,140,0,pink
1.0,136,36,0,105,0,pink
1.0,118,41,0,102,0,pink
1.0,151,40,0,127,0,pink
2.0,285,148,0,378,2,dark purple
2.0,299,139,0,361,2,dark purple
2.0,279,124,0,331,0,pink
2.0,284,114,0,343,0,pink
2.0,278,103,0,303,0,pink
2.0,259,84,0,297,0,pink
2.0,232,85,0,295,0,pink
2.0,237,81,0,266,0,pink
2.0,225,69,0,277,0,pink
2.0,222,76,0,278,0,pink
2.0,248,63,0,224,0,pink
2.0,243,63,0,261,0,pink
2.0,218,57,0,213,0,pink
2.0,213,46,0,196,0,pink
2.0,223,50,0,181,0,pink
3.0,144,241,0,358,2,dark purple
3.0,139,243,0,347,2,dark purple
3.0,119,214,0,305,0,pink
3.0,122,215,0,291,0,pink
3.0,136,183,0,285,0,pink
3.0,116,185,0,277,0,pink
3.0,110,184,0,275,0,pink
3.0,103,216,0,291,0,pink
3.0,110,211,0,303,0,pink
3.0,99,207,0,293,0,pink
3.0,106,232,0,241,0,pink
3.0,103,215,0,219,0,pink
3.0,106,203,0,201,0,pink
3.0,120,201,0,228,0,pink
3.0,120,211,0,280,0,pink
5.0,378,1196,0,1508,1,purple
5.0,414,1146,0,1535,1,purple
5.0,428,1104,0,1476,1,purple
5.0,410,1026,0,1366,1,purple
5.0,411,986,0,1363,1,purple
4.0,415,977,0,1401,1,purple
4.0,462,926,0,1326,1,purple
4.0,442,886,0,1249,1,purple
4.0,446,841,0,1249,1,purple
4.0,437,819,0,1094,1,purple
4.0,421,765,0,986,1,purple
4.0,448,782,0,1062,1,purple
4.0,437,805,0,1131,1,purple
4.0,430,809,0,1087,1,purple
4.0,424,831,0,1099,1,purple
3.0,106,133,0,130,0,pink
3.0,103,122,0,152,0,pink
3.0,107,126,0,163,0,pink
3.0,117,136,0,152,0,pink
3.0,126,148,0,191,0,pink
4.0,141,146,0,226,0,pink
4.0,152,136,0,246,0,pink
4.0,164,137,0,231,0,pink
4.0,160,136,0,229,0,pink
4.0,142,139,0,238,0,pink
4.0,149,131,0,216,0,pink
4.0,149,152,0,256,0,pink
4.0,158,158,0,258,0,pink
4.0,190,166,0,317,0,pink
4.0,206,167,0,350,2,dark purple
6.0,35,190,0,228,0,pink
6.0,36,178,0,184,0,pink
6.0,42,169,0,198,0,pink
6.0,40,159,0,237,0,pink
6.0,42,146,0,203,0,pink
5.0,45,142,0,213,0,pink
5.0,49,139,0,221,0,pink
5.0,46,118,0,200,0,pink
5.0,46,96,0,198,0,pink
5.0,40,97,0,198,0,pink
5.0,29,106,0,192,0,pink
5.0,37,91,0,184,0,pink
5.0,32,89,0,164,0,pink
5.0,38,100,0,189,0,pink
5.0,36,94,0,151,0,pink
10.0,39,337,0,377,2,dark purple
10.0,36,294,0,323,2,dark purple
10.0,39,323,0,353,2,dark purple
10.0,47,317,0,344,2,dark purple
10.0,40,313,0,343,2,dark purple
9.0,40,312,0,340,2,dark purple
9.0,45,316,0,360,2,dark purple
9.0,50,299,0,348,2,dark purple
9.0,55,280,0,304,0,pink
9.0,61,289,0,335,2,dark purple
9.0,63,292,0,308,2,dark purple
9.0,55,321,0,312,2,dark purple
9.0,54,326,0,329,2,dark purple
9.0,49,326,0,323,2,dark purple
9.0,48,313,0,322,2,dark purple
3.0,94,0,0,0,0,pink
3.0,76,0,0,4,0,pink
3.0,83,0,0,13,0,pink
3.0,73,0,0,0,0,pink
3.0,63,0,0,0,0,pink
3.0,63,0,0,0,0,pink
3.0,126,186,0,280,0,pink
3.0,121,184,0,283,0,pink
3.0,98,166,0,250,0,pink
3.0,101,154,0,209,0,pink
3.0,102,152,0,258,0,pink
3.0,102,131,0,223,0,pink
3.0,112,157,0,256,0,pink
3.0,106,173,0,274,0,pink
3.0,104,179,0,267,0,pink
3.0,95,179,0,196,0,pink
3.0,100,156,0,124,0,pink
3.0,94,146,0,92,0,pink
3.0,97,146,0,80,0,pink
3.0,106,156,0,114,0,pink
3.0,117,153,0,136,0,pink
9.0,23,234,0,260,0,pink
9.0,22,241,0,260,0,pink
9.0,19,235,0,255,0,pink
9.0,18,210,0,216,0,pink
9.0,15,209,0,232,0,pink
9.0,18,201,0,201,0,pink
9.0,16,176,0,197,0,pink
9.0,21,154,0,172,0,pink
9.0,23,133,0,148,0,pink
9.0,22,119,0,136,0,pink
9.0,23,113,0,141,0,pink
9.0,25,122,0,137,0,pink
9.0,28,126,0,146,0,pink
9.0,30,127,0,127,0,pink
9.0,34,140,0,144,0,pink
5.0,305,979,0,1225,1,purple
5.0,334,979,0,1251,1,purple
5.0,332,973,0,1255,1,purple
5.0,279,997,0,1231,1,purple
5.0,351,958,0,1256,1,purple
5.0,369,928,0,1241,1,purple
5.0,367,923,0,1215,1,purple
5.0,341,929,0,1147,1,purple
5.0,377,934,0,1185,1,purple
5.0,394,976,0,1236,1,purple
5.0,391,1028,0,1353,1,purple
5.0,406,1040,0,1327,1,purple
5.0,413,1067,0,1322,1,purple
5.0,428,1085,0,1349,1,purple
5.0,447,1075,0,1341,1,purple
5.0,216,396,0,623,2,dark purple
5.0,234,374,0,614,2,dark purple
5.0,238,379,0,627,2,dark purple
5.0,218,381,0,602,2,dark purple
5.0,193,372,0,561,2,dark purple
4.0,203,362,0,574,2,dark purple
4.0,178,356,0,563,2,dark purple
4.0,192,386,0,456,2,dark purple
4.0,203,426,0,500,2,dark purple
4.0,232,434,0,538,2,dark purple
4.0,240,478,0,732,2,dark purple
4.0,258,471,0,747,2,dark purple
4.0,291,471,0,751,2,dark purple
4.0,295,444,0,753,2,dark purple
4.0,295,434,0,757,2,dark purple
3.0,149,0,0,0,0,pink
3.0,124,0,0,0,0,pink
3.0,81,1,0,0,0,pink
3.0,68,0,0,0,0,pink
3.0,80,0,0,0,0,pink
4.0,76,0,0,0,0,pink
4.0,99,0,0,0,0,pink
4.0,115,0,0,0,0,pink
4.0,121,0,0,0,0,pink
4.0,124,0,0,0,0,pink
4.0,114,0,0,0,0,pink
4.0,127,0,0,0,0,pink
4.0,100,0,0,0,0,pink
4.0,100,0,0,0,0,pink
4.0,116,0,0,0,0,pink
6.0,415,803,15,1202,1,purple
6.0,433,757,19,1181,1,purple
6.0,382,767,20,967,1,purple
6.0,353,731,21,883,2,dark purple
6.0,339,711,23,848,2,dark purple
5.0,324,720,13,1029,1,purple
5.0,312,728,22,1015,1,purple
5.0,326,716,29,1028,1,purple
5.0,305,676,0,956,2,dark purple
5.0,276,654,0,921,2,dark purple
5.0,284,652,0,940,2,dark purple
5.0,288,639,0,721,2,dark purple
5.0,264,595,0,701,2,dark purple
5.0,284,616,0,723,2,dark purple
5.0,315,556,18,736,2,dark purple
3.0,76,84,0,114,0,pink
3.0,80,73,6,133,0,pink
3.0,68,67,0,134,0,pink
3.0,79,74,0,19,0,pink
3.0,71,77,0,0,0,pink
3.0,100,79,0,0,0,pink
3.0,114,65,0,0,0,pink
3.0,115,57,0,0,0,pink
3.0,130,59,0,2,0,pink
3.0,151,65,0,0,0,pink
3.0,173,53,0,165,0,pink
3.0,208,59,0,112,0,pink
3.0,221,67,0,42,0,pink
3.0,192,71,0,11,0,pink
3.0,186,73,0,3,0,pink
9.0,271,1169,0,1561,1,purple
9.0,297,1136,0,1556,1,purple
9.0,339,1083,0,1551,1,purple
9.0,362,1082,0,1570,1,purple
9.0,361,1102,0,1617,1,purple
8.0,356,1101,0,1577,1,purple
8.0,355,1092,0,1582,1,purple
8.0,344,1098,0,1589,1,purple
8.0,358,1043,0,1529,1,purple
8.0,352,963,0,1420,1,purple
8.0,370,890,0,1403,1,purple
8.0,398,873,0,1337,1,purple
8.0,420,866,0,1182,1,purple
8.0,430,838,0,1184,1,purple
8.0,417,846,0,1232,1,purple
9.0,216,801,0,1120,1,purple
9.0,236,764,0,1109,1,purple
9.0,266,753,0,1130,1,purple
9.0,268,739,0,1110,1,purple
9.0,271,764,0,1149,1,purple
8.0,269,710,0,1151,1,purple
8.0,269,679,0,1147,1,purple
8.0,256,621,0,1114,1,purple
8.0,247,581,0,1113,1,purple
8.0,268,566,0,1119,1,purple
8.0,241,554,0,1112,1,purple
8.0,237,584,0,1082,1,purple
8.0,226,590,0,993,2,dark purple
8.0,222,589,0,991,2,dark purple
8.0,231,624,0,1079,1,purple
7.0,86,407,0,493,2,dark purple
7.0,92,376,0,468,2,dark purple
7.0,106,371,0,445,2,dark purple
7.0,102,366,0,467,2,dark purple
7.0,100,335,0,457,2,dark purple
6.0,83,343,0,442,2,dark purple
6.0,85,347,0,433,2,dark purple
6.0,110,348,0,357,2,dark purple
6.0,117,347,0,371,2,dark purple
6.0,115,356,0,354,2,dark purple
6.0,128,387,0,381,2,dark purple
6.0,128,386,0,376,2,dark purple
6.0,124,382,0,364,2,dark purple
6.0,128,389,0,328,2,dark purple
6.0,128,377,0,367,2,dark purple
2.0,181,205,0,324,2,dark purple
2.0,169,174,0,279,0,pink
2.0,169,177,0,272,0,pink
2.0,143,153,0,0,0,pink
2.0,133,161,0,1,0,pink
2.0,128,148,0,1,0,pink
2.0,114,142,0,1,0,pink
2.0,122,135,0,0,0,pink
2.0,146,131,0,0,0,pink
2.0,147,137,0,197,0,pink
2.0,134,133,0,196,0,pink
2.0,141,113,0,203,0,pink
2.0,147,118,0,202,0,pink
2.0,133,121,0,166,0,pink
2.0,135,119,0,177,0,pink
1.0,146,0,0,0,0,pink
1.0,145,0,0,0,0,pink
1.0,136,0,0,0,0,pink
1.0,129,0,0,0,0,pink
1.0,125,0,0,0,0,pink
1.0,125,0,0,0,0,pink
1.0,115,0,0,1,0,pink
1.0,80,0,0,0,0,pink
1.0,76,0,0,0,0,pink
1.0,65,0,0,0,0,pink
1.0,82,0,0,2,0,pink
1.0,93,1,0,13,0,pink
1.0,104,1,0,0,0,pink
1.0,107,0,0,0,0,pink
1.0,123,2,0,0,0,pink
1.0,85,0,0,52,0,pink
2.0,503,288,21,514,2,dark purple
2.0,512,258,0,550,2,dark purple
2.0,507,207,21,489,2,dark purple
2.0,476,169,22,425,2,dark purple
2.0,491,154,0,381,2,dark purple
3.0,534,147,0,410,2,dark purple
3.0,546,145,0,572,2,dark purple
3.0,510,120,0,480,2,dark purple
3.0,501,140,0,501,2,dark purple
3.0,488,128,0,503,2,dark purple
3.0,483,117,0,473,2,dark purple
3.0,483,125,0,520,2,dark purple
3.0,500,119,0,529,2,dark purple
3.0,475,105,0,489,2,dark purple
3.0,428,94,0,412,2,dark purple
3.0,455,219,0,570,2,dark purple
3.0,459,234,0,627,2,dark purple
3.0,459,258,0,589,2,dark purple
3.0,474,226,0,542,2,dark purple
3.0,508,237,1,577,2,dark purple
3.0,522,237,0,588,2,dark purple
3.0,534,230,0,496,2,dark purple
3.0,522,217,43,280,2,dark purple
3.0,515,231,37,300,2,dark purple
3.0,506,229,40,283,2,dark purple
3.0,495,241,37,276,2,dark purple
3.0,496,242,48,304,2,dark purple
3.0,491,244,31,297,2,dark purple
3.0,484,231,46,276,2,dark purple
3.0,462,230,30,291,2,dark purple
3.0,489,319,0,767,2,dark purple
3.0,462,349,0,745,2,dark purple
3.0,482,339,0,730,2,dark purple
3.0,461,316,0,687,2,dark purple
3.0,466,291,0,622,2,dark purple
3.0,410,282,0,586,2,dark purple
3.0,406,260,0,566,2,dark purple
3.0,451,270,0,616,2,dark purple
3.0,482,243,0,614,2,dark purple
3.0,447,245,21,546,2,dark purple
3.0,468,242,24,558,2,dark purple
3.0,440,253,45,485,2,dark purple
3.0,408,239,20,464,2,dark purple
3.0,440,215,0,426,2,dark purple
3.0,417,223,0,469,2,dark purple
6.0,110,372,0,0,0,pink
6.0,124,352,0,0,0,pink
6.0,123,334,0,0,0,pink
6.0,117,344,0,0,0,pink
6.0,131,351,0,1,0,pink
6.0,137,346,0,0,0,pink
6.0,141,330,0,3,0,pink
6.0,150,324,0,0,0,pink
6.0,160,313,0,6,0,pink
6.0,157,285,0,1,0,pink
6.0,145,271,0,1,0,pink
6.0,146,256,0,0,0,pink
6.0,146,233,0,0,0,pink
6.0,158,223,0,0,0,pink
6.0,160,232,0,3,0,pink
2.0,236,17,40,0,0,pink
2.0,227,17,31,0,0,pink
2.0,241,15,30,0,0,pink
2.0,250,17,41,0,0,pink
2.0,226,11,31,2,0,pink
1.0,230,12,30,1,0,pink
1.0,239,10,30,0,0,pink
1.0,238,11,39,0,0,pink
1.0,225,13,30,0,0,pink
1.0,218,15,31,0,0,pink
1.0,235,20,42,0,0,pink
1.0,257,21,78,0,0,pink
1.0,251,25,61,0,0,pink
1.0,252,22,62,0,0,pink
1.0,215,22,64,0,0,pink
2.0,523,73,0,179,0,pink
2.0,509,73,0,294,0,pink
2.0,500,68,0,299,0,pink
2.0,471,58,0,277,0,pink
2.0,441,48,0,304,0,pink
1.0,442,37,0,272,0,pink
1.0,424,53,0,207,0,pink
1.0,451,44,0,129,0,pink
1.0,435,42,0,132,0,pink
1.0,420,45,0,240,0,pink
1.0,428,48,0,249,0,pink
1.0,436,40,0,150,0,pink
1.0,417,42,0,203,0,pink
1.0,377,48,0,167,0,pink
1.0,362,46,0,159,0,pink
8.0,131,789,0,885,2,dark purple
8.0,131,834,0,914,2,dark purple
8.0,158,778,0,892,2,dark purple
8.0,178,707,0,854,2,dark purple
8.0,170,696,0,851,2,dark purple
7.0,188,693,0,818,2,dark purple
7.0,182,686,0,805,2,dark purple
7.0,179,686,0,810,2,dark purple
7.0,179,710,0,858,2,dark purple
7.0,202,708,0,864,2,dark purple
7.0,195,693,0,855,2,dark purple
7.0,206,741,0,906,2,dark purple
7.0,209,724,0,882,2,dark purple
7.0,214,706,0,883,2,dark purple
7.0,202,641,0,798,2,dark purple
6.0,298,803,0,1050,1,purple
6.0,330,808,0,1088,1,purple
6.0,300,858,0,1094,1,purple
6.0,280,870,0,1113,1,purple
6.0,289,852,0,1125,1,purple
6.0,295,843,0,1113,1,purple
6.0,301,830,0,1101,1,purple
6.0,320,783,0,1055,1,purple
6.0,309,764,0,1019,1,purple
6.0,327,711,0,953,2,dark purple
6.0,325,699,0,889,2,dark purple
6.0,333,693,0,716,2,dark purple
6.0,336,701,0,711,2,dark purple
6.0,374,696,0,695,2,dark purple
6.0,403,723,0,750,2,dark purple
7.0,175,686,0,819,2,dark purple
7.0,198,677,0,778,2,dark purple
7.0,212,668,0,797,2,dark purple
7.0,208,685,0,788,2,dark purple
7.0,219,669,0,773,2,dark purple
6.0,232,690,0,815,2,dark purple
6.0,228,699,0,816,2,dark purple
6.0,232,708,0,837,2,dark purple
6.0,250,702,0,827,2,dark purple
6.0,246,684,0,803,2,dark purple
6.0,249,673,0,805,2,dark purple
6.0,256,644,0,793,2,dark purple
6.0,260,603,0,757,2,dark purple
6.0,278,595,0,725,2,dark purple
6.0,300,598,0,779,2,dark purple
3.0,127,118,0,193,0,pink
3.0,127,108,0,198,0,pink
3.0,143,100,0,188,0,pink
3.0,143,89,0,162,0,pink
3.0,145,104,0,195,0,pink
3.0,149,104,0,203,0,pink
3.0,144,104,0,185,0,pink
3.0,161,121,0,203,0,pink
3.0,160,116,0,214,0,pink
3.0,151,101,0,195,0,pink
3.0,140,107,0,201,0,pink
3.0,161,114,0,203,0,pink
3.0,178,117,0,236,0,pink
3.0,183,131,14,228,0,pink
3.0,204,128,20,255,0,pink
5.0,75,220,0,244,0,pink
5.0,59,207,0,212,0,pink
5.0,61,175,0,192,0,pink
5.0,66,184,0,192,0,pink
5.0,72,181,0,203,0,pink
5.0,67,180,0,208,0,pink
5.0,58,174,0,208,0,pink
5.0,61,155,0,212,0,pink
5.0,52,144,0,171,0,pink
5.0,55,132,0,158,0,pink
5.0,67,136,0,159,0,pink
5.0,67,160,0,246,0,pink
5.0,60,182,0,264,0,pink
5.0,65,192,0,307,0,pink
5.0,68,185,0,291,0,pink
2.0,280,222,0,303,2,dark purple
2.0,277,185,0,280,0,pink
2.0,252,152,0,242,0,pink
2.0,235,108,0,191,0,pink
2.0,250,90,0,230,0,pink
2.0,225,83,0,269,0,pink
2.0,240,77,0,300,0,pink
2.0,230,76,0,204,0,pink
2.0,237,89,0,150,0,pink
2.0,242,83,0,133,0,pink
2.0,251,90,0,159,0,pink
2.0,287,100,0,196,0,pink
2.0,263,80,0,147,0,pink
2.0,266,71,0,149,0,pink
2.0,228,69,0,223,0,pink
1.0,178,0,178,0,0,pink
1.0,174,0,174,0,0,pink
1.0,165,0,165,0,0,pink
1.0,161,0,112,0,0,pink
1.0,157,0,150,0,0,pink
2.0,182,0,129,0,0,pink
2.0,208,0,147,3,0,pink
2.0,201,0,138,0,0,pink
2.0,173,0,116,0,0,pink
2.0,177,0,117,0,0,pink
2.0,212,0,149,0,0,pink
2.0,210,0,151,0,0,pink
2.0,212,0,149,0,0,pink
2.0,220,0,149,0,0,pink
2.0,226,0,151,0,0,pink
3.0,210,0,0,0,0,pink
3.0,184,0,0,0,0,pink
3.0,185,0,0,0,0,pink
3.0,209,2,0,0,0,pink
3.0,219,0,0,0,0,pink
2.0,224,0,0,0,0,pink
2.0,218,0,0,0,0,pink
2.0,219,0,0,0,0,pink
2.0,208,0,0,0,0,pink
2.0,202,0,0,0,0,pink
2.0,195,0,0,0,0,pink
2.0,176,0,0,0,0,pink
2.0,152,0,0,0,0,pink
2.0,135,0,0,0,0,pink
2.0,155,0,0,0,0,pink
9.0,168,671,0,820,2,dark purple
9.0,172,641,0,825,2,dark purple
9.0,154,595,0,757,2,dark purple
9.0,148,634,0,794,2,dark purple
9.0,148,658,0,823,2,dark purple
8.0,135,683,0,843,2,dark purple
8.0,136,679,0,837,2,dark purple
8.0,153,760,0,932,2,dark purple
8.0,157,757,0,939,2,dark purple
8.0,172,750,0,955,2,dark purple
8.0,182,783,0,990,1,purple
8.0,168,806,0,988,1,purple
8.0,170,798,0,980,1,purple
8.0,187,804,0,965,1,purple
8.0,197,762,0,955,2,dark purple
9.0,23,224,0,205,0,pink
9.0,23,222,0,205,0,pink
9.0,28,224,0,214,0,pink
9.0,32,234,0,215,0,pink
9.0,31,233,0,212,0,pink
10.0,32,242,0,220,0,pink
10.0,30,258,0,181,0,pink
10.0,28,259,0,221,0,pink
10.0,33,251,0,224,0,pink
10.0,31,251,0,220,0,pink
10.0,31,259,0,222,0,pink
10.0,33,249,0,237,0,pink
10.0,36,261,0,242,0,pink
10.0,34,259,0,247,0,pink
10.0,40,263,0,268,0,pink
9.0,17,278,0,264,0,pink
9.0,14,262,0,276,0,pink
9.0,17,246,0,242,0,pink
9.0,22,239,0,277,0,pink
9.0,24,246,0,216,0,pink
9.0,30,235,0,264,0,pink
9.0,41,239,0,282,0,pink
9.0,51,241,0,277,0,pink
9.0,46,247,0,279,0,pink
9.0,49,240,0,274,0,pink
9.0,45,248,0,292,0,pink
9.0,47,267,0,279,0,pink
9.0,50,266,0,274,0,pink
9.0,44,275,0,252,0,pink
9.0,43,287,0,278,0,pink
5.0,101,304,0,381,2,dark purple
5.0,94,297,0,375,2,dark purple
5.0,90,290,0,354,2,dark purple
5.0,95,258,0,342,2,dark purple
5.0,80,247,0,313,0,pink
4.0,79,223,0,304,0,pink
4.0,84,207,0,290,0,pink
4.0,86,216,0,331,0,pink
4.0,102,198,0,317,0,pink
4.0,91,195,0,327,0,pink
4.0,91,197,0,329,0,pink
4.0,97,196,0,334,0,pink
4.0,99,208,0,331,0,pink
4.0,103,224,0,364,2,dark purple
4.0,106,225,0,361,2,dark purple
2.0,294,214,0,556,2,dark purple
2.0,294,225,0,596,2,dark purple
2.0,303,240,0,616,2,dark purple
2.0,324,248,0,629,2,dark purple
2.0,316,243,0,627,2,dark purple
2.0,329,251,0,599,2,dark purple
2.0,338,228,0,592,2,dark purple
2.0,367,202,0,611,2,dark purple
2.0,360,195,0,605,2,dark purple
2.0,377,198,0,612,2,dark purple
2.0,401,187,0,616,2,dark purple
2.0,372,186,0,607,2,dark purple
2.0,388,194,0,628,2,dark purple
2.0,357,197,0,586,2,dark purple
2.0,374,190,0,636,2,dark purple
2.0,281,420,0,748,2,dark purple
2.0,273,410,0,743,2,dark purple
2.0,284,396,0,762,2,dark purple
2.0,295,382,0,739,2,dark purple
2.0,309,341,0,718,2,dark purple
3.0,320,306,0,711,2,dark purple
3.0,309,262,0,686,2,dark purple
3.0,308,246,0,667,2,dark purple
3.0,285,230,0,635,2,dark purple
3.0,285,167,0,543,2,dark purple
3.0,284,149,0,505,2,dark purple
3.0,307,133,0,474,2,dark purple
3.0,295,92,0,427,2,dark purple
3.0,292,92,0,348,0,pink
3.0,275,67,0,380,2,dark purple
4.0,215,534,0,722,2,dark purple
4.0,230,506,0,719,2,dark purple
4.0,280,493,0,707,2,dark purple
4.0,282,482,0,721,2,dark purple
4.0,275,476,0,718,2,dark purple
4.0,305,489,0,759,2,dark purple
4.0,317,492,0,784,2,dark purple
4.0,306,497,0,799,2,dark purple
4.0,306,481,0,809,2,dark purple
4.0,330,493,0,833,2,dark purple
4.0,333,495,0,798,2,dark purple
4.0,312,468,0,722,2,dark purple
4.0,340,442,0,710,2,dark purple
4.0,313,445,0,696,2,dark purple
4.0,329,421,0,708,2,dark purple
10.0,40,429,0,382,2,dark purple
10.0,43,439,0,412,2,dark purple
10.0,50,452,0,422,2,dark purple
10.0,56,432,0,396,2,dark purple
10.0,52,412,0,386,2,dark purple
9.0,64,394,0,359,2,dark purple
9.0,63,368,0,340,2,dark purple
9.0,64,359,0,336,2,dark purple
9.0,62,375,0,353,2,dark purple
9.0,69,398,0,371,2,dark purple
9.0,65,378,0,340,2,dark purple
9.0,68,366,0,334,2,dark purple
9.0,62,406,0,347,2,dark purple
9.0,65,404,0,358,2,dark purple
9.0,63,402,0,387,2,dark purple
6.0,53,274,0,100,0,pink
6.0,56,295,0,87,0,pink
6.0,63,283,0,58,0,pink
6.0,56,290,0,63,0,pink
6.0,59,292,0,183,0,pink
6.0,58,289,0,114,0,pink
6.0,60,290,0,213,0,pink
6.0,59,286,0,183,0,pink
6.0,60,285,0,257,0,pink
6.0,66,276,0,35,0,pink
6.0,70,263,0,55,0,pink
6.0,62,256,0,146,0,pink
6.0,56,219,0,84,0,pink
6.0,60,191,0,80,0,pink
6.0,62,195,0,0,0,pink
3.0,88,1,0,7,0,pink
3.0,81,2,0,7,0,pink
3.0,85,4,0,0,0,pink
3.0,78,0,0,0,0,pink
3.0,77,0,0,11,0,pink
3.0,96,0,0,9,0,pink
3.0,108,0,0,4,0,pink
3.0,110,1,0,10,0,pink
3.0,104,2,0,8,0,pink
3.0,87,0,0,4,0,pink
3.0,62,0,0,0,0,pink
3.0,82,0,0,2,0,pink
3.0,71,0,0,0,0,pink
3.0,73,0,0,0,0,pink
3.0,75,0,0,0,0,pink
4.0,198,370,0,524,2,dark purple
4.0,220,356,0,527,2,dark purple
4.0,203,344,0,501,2,dark purple
4.0,204,329,0,477,2,dark purple
4.0,195,329,0,456,2,dark purple
4.0,213,309,0,456,2,dark purple
4.0,207,283,0,431,2,dark purple
4.0,195,277,0,410,2,dark purple
4.0,196,279,0,418,2,dark purple
4.0,185,276,0,404,2,dark purple
4.0,181,292,0,391,2,dark purple
4.0,184,315,0,415,2,dark purple
4.0,210,289,0,430,2,dark purple
4.0,213,290,0,432,2,dark purple
4.0,203,270,0,445,2,dark purple
4.0,188,290,0,470,2,dark purple
4.0,195,288,0,466,2,dark purple
4.0,174,299,0,343,2,dark purple
4.0,164,279,0,316,2,dark purple
4.0,139,270,0,316,2,dark purple
4.0,135,242,0,279,0,pink
4.0,140,240,0,263,0,pink
4.0,162,239,0,251,0,pink
4.0,141,252,0,340,2,dark purple
4.0,153,248,0,337,2,dark purple
4.0,148,251,0,345,2,dark purple
4.0,162,227,0,346,2,dark purple
4.0,178,206,0,346,2,dark purple
4.0,167,216,0,346,2,dark purple
4.0,177,217,0,349,2,dark purple
4.0,111,268,0,318,2,dark purple
4.0,106,243,0,299,0,pink
4.0,118,214,0,291,0,pink
4.0,104,198,0,263,0,pink
4.0,119,195,0,290,0,pink
3.0,125,187,0,274,0,pink
3.0,121,188,0,268,0,pink
3.0,112,187,0,270,0,pink
3.0,123,170,0,254,0,pink
3.0,150,183,0,198,0,pink
3.0,137,224,0,210,0,pink
3.0,137,247,0,278,0,pink
3.0,132,238,0,305,0,pink
3.0,142,228,0,283,0,pink
3.0,158,201,0,273,0,pink
3.0,218,354,0,554,2,dark purple
3.0,232,342,0,559,2,dark purple
3.0,261,339,0,607,2,dark purple
3.0,248,343,0,537,2,dark purple
3.0,248,323,0,470,2,dark purple
3.0,230,298,0,482,2,dark purple
3.0,210,280,0,452,2,dark purple
3.0,212,260,0,428,2,dark purple
3.0,186,249,0,414,2,dark purple
3.0,177,263,0,418,2,dark purple
3.0,206,274,0,452,2,dark purple
3.0,210,296,0,477,2,dark purple
3.0,245,293,0,486,2,dark purple
3.0,261,295,0,522,2,dark purple
3.0,303,309,0,567,2,dark purple
2.0,180,402,0,436,2,dark purple
2.0,234,367,0,459,2,dark purple
2.0,244,340,0,453,2,dark purple
2.0,245,334,0,426,2,dark purple
2.0,253,310,0,413,2,dark purple
2.0,235,318,0,461,2,dark purple
2.0,242,295,0,443,2,dark purple
2.0,249,287,0,450,2,dark purple
2.0,234,270,0,435,2,dark purple
2.0,245,255,0,415,2,dark purple
2.0,272,250,0,388,2,dark purple
2.0,301,257,0,417,2,dark purple
2.0,266,229,0,263,0,pink
2.0,305,222,0,291,2,dark purple
2.0,290,195,0,489,2,dark purple
2.0,159,77,0,90,0,pink
2.0,146,77,0,0,0,pink
2.0,146,93,0,2,0,pink
2.0,133,85,0,0,0,pink
2.0,134,81,0,0,0,pink
2.0,150,77,0,90,0,pink
2.0,151,64,0,85,0,pink
2.0,140,65,0,89,0,pink
2.0,152,51,0,87,0,pink
2.0,141,35,0,77,0,pink
2.0,171,39,0,74,0,pink
2.0,190,37,0,80,0,pink
2.0,130,25,0,30,0,pink
2.0,94,16,0,68,0,pink
4.0,210,214,0,385,2,dark purple
4.0,213,189,0,392,2,dark purple
4.0,193,176,0,354,2,dark purple
4.0,188,191,0,380,2,dark purple
4.0,189,170,0,355,2,dark purple
4.0,177,162,0,325,0,pink
4.0,188,159,0,292,0,pink
4.0,210,162,0,307,0,pink
4.0,221,169,0,328,0,pink
4.0,222,177,0,344,2,dark purple
4.0,248,194,0,385,2,dark purple
4.0,243,199,0,376,2,dark purple
4.0,238,179,0,350,2,dark purple
4.0,227,176,0,320,0,pink
4.0,233,177,0,322,0,pink
6.0,247,798,0,1061,1,purple
6.0,240,738,0,998,1,purple
6.0,229,687,0,937,2,dark purple
6.0,213,662,0,913,2,dark purple
6.0,214,716,0,953,2,dark purple
6.0,233,678,0,934,2,dark purple
6.0,238,709,0,936,2,dark purple
6.0,248,708,0,954,2,dark purple
6.0,262,718,0,965,2,dark purple
6.0,268,716,0,932,2,dark purple
6.0,313,710,0,950,2,dark purple
6.0,314,689,0,923,2,dark purple
6.0,331,609,0,853,2,dark purple
6.0,315,591,0,817,2,dark purple
6.0,316,589,0,807,2,dark purple
8.0,24,98,0,102,0,pink
8.0,25,95,0,107,0,pink
8.0,31,96,0,121,0,pink
8.0,24,98,0,84,0,pink
8.0,27,92,0,78,0,pink
7.0,25,99,0,78,0,pink
