School Decile,Māori,European/ Pākehā,Immersion Level 1,Immersion None,clusters,cluster
5.0,408,415,0,654,2,dark purple
5.0,362,355,0,557,2,dark purple
4.0,355,336,0,546,2,dark purple
4.0,411,345,0,585,2,dark purple
4.0,413,352,0,628,2,dark purple
4.0,408,367,0,628,2,dark purple
4.0,461,395,0,683,2,dark purple
4.0,477,438,0,764,2,dark purple
4.0,452,400,0,760,2,dark purple
4.0,429,320,0,631,2,dark purple
4.0,380,295,0,477,2,dark purple
4.0,385,292,0,516,2,dark purple
2.0,318,94,0,0,0,pink
2.0,376,91,0,0,0,pink
2.0,410,95,0,0,0,pink
2.0,411,67,0,0,0,pink
2.0,318,60,0,0,0,pink
2.0,264,55,0,0,0,pink
2.0,249,50,0,0,0,pink
2.0,241,38,0,0,0,pink
2.0,229,34,0,0,0,pink
2.0,215,40,0,0,0,pink
2.0,260,35,0,0,0,pink
2.0,273,47,0,0,0,pink
2.0,268,38,0,0,0,pink
2.0,283,37,0,0,0,pink
2.0,296,38,0,0,0,pink
5.0,293,545,0,841,2,dark purple
5.0,306,543,0,824,2,dark purple
5.0,337,565,0,772,2,dark purple
5.0,410,601,0,765,2,dark purple
5.0,417,602,0,927,2,dark purple
5.0,447,627,0,983,2,dark purple
5.0,420,639,0,977,2,dark purple
5.0,421,602,0,925,2,dark purple
5.0,447,574,0,858,2,dark purple
5.0,462,586,0,880,2,dark purple
5.0,493,576,0,855,2,dark purple
5.0,487,611,0,853,2,dark purple
5.0,500,651,0,940,2,dark purple
5.0,526,649,0,969,2,dark purple
5.0,589,648,0,1027,1,purple
5.0,379,633,0,932,2,dark purple
5.0,383,700,0,1003,1,purple
5.0,390,718,0,1021,1,purple
5.0,425,786,0,1109,1,purple
5.0,438,795,0,1145,1,purple
5.0,460,778,0,1192,1,purple
5.0,449,763,0,1228,1,purple
5.0,463,775,0,1175,1,purple
5.0,486,764,0,1221,1,purple
5.0,495,732,0,1181,1,purple
5.0,554,739,0,1219,1,purple
5.0,545,729,0,1233,1,purple
5.0,588,721,0,1287,1,purple
5.0,605,698,0,1258,1,purple
5.0,614,725,0,1216,1,purple
7.0,96,397,0,361,2,dark purple
7.0,101,397,0,375,2,dark purple
7.0,96,377,0,377,2,dark purple
7.0,94,371,0,380,2,dark purple
7.0,86,348,0,345,2,dark purple
7.0,84,333,0,332,2,dark purple
7.0,90,321,0,309,2,dark purple
7.0,83,320,0,306,2,dark purple
7.0,79,339,0,339,2,dark purple
7.0,82,343,0,329,2,dark purple
7.0,107,343,0,366,2,dark purple
7.0,108,374,0,405,2,dark purple
7.0,113,378,0,393,2,dark purple
7.0,104,366,0,385,2,dark purple
7.0,115,355,0,401,2,dark purple
3.0,102,36,0,29,0,pink
3.0,100,30,0,33,0,pink
3.0,99,28,0,24,0,pink
3.0,109,26,0,26,0,pink
3.0,116,24,0,33,0,pink
3.0,101,13,0,23,0,pink
3.0,90,13,0,15,0,pink
3.0,66,7,0,10,0,pink
3.0,77,5,0,21,0,pink
3.0,89,5,0,18,0,pink
3.0,70,6,0,16,0,pink
3.0,56,10,0,12,0,pink
3.0,78,6,0,0,0,pink
3.0,75,6,0,57,0,pink
3.0,73,2,0,2,0,pink
3.0,206,295,0,465,2,dark purple
3.0,210,289,0,464,2,dark purple
3.0,200,249,0,450,2,dark purple
3.0,199,246,0,418,2,dark purple
3.0,201,231,0,394,2,dark purple
3.0,208,251,0,417,2,dark purple
3.0,203,245,0,397,2,dark purple
3.0,188,243,0,407,2,dark purple
3.0,202,224,0,395,2,dark purple
3.0,188,213,0,367,2,dark purple
3.0,208,198,0,3,0,pink
3.0,206,176,0,9,0,pink
3.0,219,159,0,10,0,pink
3.0,214,145,0,0,0,pink
3.0,208,136,0,2,0,pink
4.0,165,274,0,276,0,pink
4.0,152,267,0,378,2,dark purple
4.0,153,264,0,255,0,pink
4.0,151,253,0,249,0,pink
4.0,172,249,0,257,0,pink
5.0,166,251,0,268,0,pink
5.0,170,251,0,248,0,pink
5.0,209,253,0,432,2,dark purple
5.0,192,286,0,434,2,dark purple
5.0,208,279,0,458,2,dark purple
5.0,213,294,0,457,2,dark purple
5.0,203,293,0,294,2,dark purple
5.0,195,288,0,305,2,dark purple
5.0,206,296,0,321,2,dark purple
5.0,236,281,21,309,2,dark purple
6.0,158,314,0,438,2,dark purple
6.0,139,307,0,327,2,dark purple
6.0,136,263,0,367,2,dark purple
6.0,142,243,0,282,0,pink
6.0,162,249,0,295,0,pink
4.0,154,267,0,273,0,pink
4.0,126,253,0,185,0,pink
4.0,130,236,0,238,0,pink
4.0,135,248,0,176,0,pink
4.0,134,262,0,196,0,pink
4.0,136,254,0,201,0,pink
4.0,160,292,0,211,0,pink
4.0,192,325,0,252,0,pink
4.0,217,387,0,349,2,dark purple
4.0,229,371,0,387,2,dark purple
5.0,64,104,0,57,0,pink
5.0,77,106,0,103,0,pink
5.0,90,107,0,134,0,pink
5.0,91,105,0,141,0,pink
5.0,91,95,0,162,0,pink
4.0,72,86,0,127,0,pink
4.0,82,90,0,143,0,pink
4.0,70,69,0,121,0,pink
4.0,74,79,0,134,0,pink
4.0,71,69,0,125,0,pink
4.0,76,66,0,80,0,pink
4.0,70,61,0,117,0,pink
4.0,61,47,0,82,0,pink
4.0,83,50,0,7,0,pink
4.0,94,63,0,0,0,pink
5.0,93,210,0,214,0,pink
4.0,96,216,0,289,0,pink
4.0,111,203,0,321,0,pink
4.0,108,224,0,339,2,dark purple
4.0,116,228,0,338,2,dark purple
4.0,110,216,0,333,2,dark purple
4.0,111,209,0,321,0,pink
4.0,112,218,0,329,2,dark purple
4.0,113,242,0,363,2,dark purple
4.0,110,220,0,342,2,dark purple
4.0,107,223,0,346,2,dark purple
4.0,109,226,0,356,2,dark purple
4.0,115,196,0,329,0,pink
4.0,120,163,0,274,0,pink
4.0,129,147,0,285,0,pink
8.0,130,962,0,773,2,dark purple
